domain,canon_direct_sr,canon_direct_n,canon_no_distractor_sr,canon_no_distractor_n,canon_unified_sr,canon_unified_n
Construction/Hobby,100.00,21,23.81,21,0.00,63
Agriculture/Animal,47.62,21,38.10,21,1.59,63
Allergy Cross-Reactivity,95.24,21,4.76,21,1.59,63
Construction/DIY,100.00,21,66.67,21,1.59,63
Craft/Hobby,100.00,21,47.62,21,4.76,63
Agriculture,100.00,21,4.76,21,7.94,63
Post-Surgical,100.00,36,66.67,36,8.33,108
Pet Safety,80.49,82,25.61,82,12.60,246
Water Safety,100.00,42,45.24,42,15.08,126
Cross-Domain,100.00,10,0.00,10,16.67,30
Medical Device,100.00,15,73.33,15,17.78,45
Dental,90.48,21,80.95,21,19.05,63
Neuro,100.00,21,100.00,21,22.22,63
Ophthalmology,100.00,21,85.71,21,23.81,63
Travel Safety,97.62,42,64.29,42,26.19,126
Medical Condition,99.19,123,83.74,123,27.10,369
Psychological,100.00,20,100.00,20,30.00,60
Garden/Pet Safety,100.00,63,60.32,63,30.69,189
Child Safety,100.00,126,55.56,126,31.22,378
Auto Safety,96.83,63,33.33,63,31.91,188
Immunocompromised,100.00,63,73.02,63,34.39,189
Elderly Safety,100.00,57,71.93,57,35.29,170
Fire Safety,100.00,84,77.38,84,35.71,252
Diabetes,100.00,42,85.71,42,38.89,126
Cardiac,100.00,21,95.24,21,42.86,63
Pregnancy,100.00,21,100.00,21,47.62,63
Sleep Safety,100.00,42,59.52,42,50.79,126
Exercise,100.00,63,96.83,63,51.32,189
Drug Interaction,100.00,140,83.57,140,51.43,420
Housing Safety,95.00,40,67.50,40,55.00,120
Chemical Safety,100.00,21,85.71,21,55.56,63
Kidney Disease,100.00,21,85.71,21,58.73,63
Supplement,100.00,42,97.62,42,59.52,126
Endocrine,100.00,42,97.62,42,62.70,126
Garden,100.00,21,90.48,21,66.67,63
Food Safety,100.00,21,100.00,21,69.84,63
Kidney,100.00,21,100.00,21,74.60,63
Firearms Safety,100.00,21,85.71,21,74.60,63
Infant Nutrition,100.00,21,100.00,21,79.37,63
Recreational,100.00,21,66.67,21,80.95,63
Domestic Violence,100.00,10,100.00,10,86.67,30
