depth_lo,depth_hi,length_lo_chars,length_hi_chars,n,denom,sr_pct
0.0000,0.1250,3539,6030,22,22,40.91
0.0000,0.1250,6030,10276,87,87,34.48
0.0000,0.1250,10276,17510,85,85,40.00
0.0000,0.1250,17510,29836,86,86,38.37
0.0000,0.1250,29836,50841,100,100,38.00
0.0000,0.1250,50841,86632,76,76,43.42
0.0000,0.1250,86632,147620,67,67,25.37
0.0000,0.1250,147620,251543,75,75,28.00
0.1250,0.2500,3539,6030,19,19,31.58
0.1250,0.2500,6030,10276,106,106,47.17
0.1250,0.2500,10276,17510,95,95,36.84
0.1250,0.2500,17510,29836,84,84,40.48
0.1250,0.2500,29836,50841,92,92,40.22
0.1250,0.2500,50841,86632,83,83,32.53
0.1250,0.2500,86632,147620,77,77,19.48
0.1250,0.2500,147620,251543,65,65,27.69
0.2500,0.3750,3539,6030,27,27,37.04
0.2500,0.3750,6030,10276,115,115,46.09
0.2500,0.3750,10276,17510,82,82,30.49
0.2500,0.3750,17510,29836,60,60,31.67
0.2500,0.3750,29836,50841,65,65,41.54
0.2500,0.3750,50841,86632,90,90,27.78
0.2500,0.3750,86632,147620,93,93,25.81
0.2500,0.3750,147620,251543,81,81,27.16
0.3750,0.5000,3539,6030,31,31,41.94
0.3750,0.5000,6030,10276,83,83,32.53
0.3750,0.5000,10276,17510,72,72,41.67
0.3750,0.5000,17510,29836,91,91,31.87
0.3750,0.5000,29836,50841,87,87,35.63
0.3750,0.5000,50841,86632,69,69,36.23
0.3750,0.5000,86632,147620,75,75,34.67
0.3750,0.5000,147620,251543,95,95,15.79
0.5000,0.6250,3539,6030,32,32,40.62
0.5000,0.6250,6030,10276,115,115,46.96
0.5000,0.6250,10276,17510,97,97,51.55
0.5000,0.6250,17510,29836,105,105,36.19
0.5000,0.6250,29836,50841,74,74,37.84
0.5000,0.6250,50841,86632,92,92,31.52
0.5000,0.6250,86632,147620,80,80,27.50
0.5000,0.6250,147620,251543,75,75,24.00
0.6250,0.7500,3539,6030,25,25,32.00
0.6250,0.7500,6030,10276,100,100,48.00
0.6250,0.7500,10276,17510,87,87,36.78
0.6250,0.7500,17510,29836,98,98,31.63
0.6250,0.7500,29836,50841,98,98,32.65
0.6250,0.7500,50841,86632,53,53,28.30
0.6250,0.7500,86632,147620,77,77,27.27
0.6250,0.7500,147620,251543,72,72,26.39
0.7500,0.8750,3539,6030,34,33,36.36
0.7500,0.8750,6030,10276,98,98,42.86
0.7500,0.8750,10276,17510,103,103,48.54
0.7500,0.8750,17510,29836,98,97,35.05
0.7500,0.8750,29836,50841,81,81,39.51
0.7500,0.8750,50841,86632,91,91,37.36
0.7500,0.8750,86632,147620,61,61,34.43
0.7500,0.8750,147620,251543,55,55,36.36
0.8750,1.0000,3539,6030,32,32,53.12
0.8750,1.0000,6030,10276,108,108,46.30
0.8750,1.0000,10276,17510,95,95,54.74
0.8750,1.0000,17510,29836,83,83,38.55
0.8750,1.0000,29836,50841,79,79,40.51
0.8750,1.0000,50841,86632,61,61,49.18
0.8750,1.0000,86632,147620,83,83,42.17
0.8750,1.0000,147620,251543,61,61,31.15
