model	decile	depth_lo	depth_hi	n	num	den	pct	ci_lo	ci_hi
claude-haiku-4-5-20251001	0	0.00	0.10	493	179	493	36.31	32.18	40.64
claude-haiku-4-5-20251001	1	0.10	0.20	476	172	476	36.13	31.95	40.55
claude-haiku-4-5-20251001	2	0.20	0.30	499	167	499	33.47	29.47	37.72
claude-haiku-4-5-20251001	3	0.30	0.40	494	168	494	34.01	29.97	38.29
claude-haiku-4-5-20251001	4	0.40	0.50	473	152	473	32.14	28.09	36.47
claude-haiku-4-5-20251001	5	0.50	0.60	546	205	546	37.55	33.58	41.68
claude-haiku-4-5-20251001	6	0.60	0.70	474	170	474	35.86	31.68	40.28
claude-haiku-4-5-20251001	7	0.70	0.80	516	185	515	35.92	31.90	40.16
claude-haiku-4-5-20251001	8	0.80	0.90	480	192	479	40.08	35.79	44.53
claude-haiku-4-5-20251001	9	0.90	1.00	487	218	487	44.76	40.41	49.20
claude-opus-4-7	0	0.00	0.10	493	402	493	81.54	77.88	84.72
claude-opus-4-7	1	0.10	0.20	476	385	476	80.88	77.11	84.16
claude-opus-4-7	2	0.20	0.30	499	392	498	78.71	74.91	82.08
claude-opus-4-7	3	0.30	0.40	494	403	494	81.58	77.92	84.75
claude-opus-4-7	4	0.40	0.50	473	378	473	79.92	76.07	83.28
claude-opus-4-7	5	0.50	0.60	546	450	545	82.57	79.16	85.52
claude-opus-4-7	6	0.60	0.70	474	387	474	81.65	77.91	84.87
claude-opus-4-7	7	0.70	0.80	516	429	515	83.30	79.84	86.27
claude-opus-4-7	8	0.80	0.90	480	386	480	80.42	76.63	83.72
claude-opus-4-7	9	0.90	1.00	487	413	487	84.80	81.35	87.72
claude-sonnet-4-6	0	0.00	0.10	493	334	493	67.75	63.50	71.72
claude-sonnet-4-6	1	0.10	0.20	476	311	476	65.34	60.95	69.47
claude-sonnet-4-6	2	0.20	0.30	499	325	499	65.13	60.85	69.18
claude-sonnet-4-6	3	0.30	0.40	494	321	493	65.11	60.80	69.19
claude-sonnet-4-6	4	0.40	0.50	473	311	471	66.03	61.64	70.16
claude-sonnet-4-6	5	0.50	0.60	546	373	546	68.32	64.30	72.08
claude-sonnet-4-6	6	0.60	0.70	474	324	474	68.35	64.03	72.38
claude-sonnet-4-6	7	0.70	0.80	516	343	516	66.47	62.29	70.41
claude-sonnet-4-6	8	0.80	0.90	480	334	476	70.17	65.91	74.10
claude-sonnet-4-6	9	0.90	1.00	487	354	484	73.14	69.02	76.90
